id,slug,title
670,i-may-be-a-guild-receptionist-but-ill-solo-any-boss-to-clock-out-on-time,
671,i-obtained-a-mythic-item,
672,i-reincarnated-as-an-sssranked-goblin,
673,i-returned-as-an-fff-class-witch-doctor,
674,i-somehow-got-strong-by-raising-skills-related-to-farming,
675,i-want-to-eat-your-pancreas,
676,i-was-mistaken-as-a-monstrous-genius,
677,i-was-reincarnated-as-the-7th-prince,
678,i-will-parry-all,
679,ice-lord,
680,ichi-the-witch,
681,id-invaded,
682,idolish7,
683,idoly-pride,
684,if-its-for-my-daughter-id-even-defeat-a-demon-lord,
685,ijiranaide-nagatoro-san,
686,ikebukuro-west-gate-park,
687,ikigami,
688,ikoku-nikki,
689,ill-be-the-matriarch-in-this-life,
690,ill-become-a-villainess-that-will-go-down-in-history,
691,ill-retire-after-saving-the-world,
692,im-a-hero-but-the-heroines-are-trying-to-kill-me,
693,im-an-ex-class-hunter,
694,im-in-love-with-the-villainess,
695,im-living-with-an-otaku-neet-kunoichi,
696,im-not-that-kind-of-talent,
697,im-not-the-overlord,
698,im-standing-on-a-million-lives,
699,im-the-grim-reaper,
700,im-the-max-level-newbie,
701,im-the-villainess-so-im-taming-the-final-boss,
702,imagine-un-cambrousard,
703,immortal-vagabond,
704,imouza,
705,in-another-world-with-my-smartphone,
706,in-spectre,
707,in-the-heart-of-kunoichi-tsubaki,
708,in-the-night-consumed-by-blades-i-walk,
709,in-this-corner-of-the-world,
710,inazuma-eleven,
711,inexpressive-kashiwada-and-expressive-oota,
712,infinite-dendrogram,
713,infinite-mage,
714,infinite-stratos,
715,initial-d,
716,innocent,
717,inou-battle-wa-nichijoukei-no-naka-de,
718,insomniacs-after-school,
719,inu-x-boku-ss,
720,inuyasha,
721,inuyashiki,
722,invicible,
723,iroduku-le-monde-en-couleur,
724,isekai-cheat-magician,
725,isekai-izakaya-japanese-food-from-another-world,
726,isekai-no-sata-wa-shachiku-shidai,
727,isekai-ojisan,
728,isekai-quartet,
729,isekai-shikkaku,
730,isekai-yururi-kikou,
731,ishura,
