commit	date	subject
175ebff6626806b34d9342f94fb8b3a208f5786b	2025-11-10 02:13:00 +0100	platforms added
da903f50a7729a994cecdcdd53faad6fc436bfdb	2025-11-09 17:58:48 +0100	Add files via upload
a485303ef30948b8144c8ea55a0f26c63562f040	2025-11-09 17:57:55 +0100	fixes
2d6f52599db0cd29ccb2b6341a9bec11d0a51859	2025-11-09 15:23:26 +0000	Automated TMDB data update
44949685e3392709cd20eac9c79ee1a170999afc	2025-11-09 00:25:15 +0100	fix for stubborn continue watching
4d646cb959961b33677c1c5c9454d77efda0bee4	2025-11-09 00:07:15 +0100	Add files via upload
d27cd1b52c864e04cb13328502d539f3d719d5e5	2025-11-08 15:24:09 +0000	Automated TMDB data update
4d6b91e3cf3bcea084a6f11868761570770c5e9d	2025-11-07 15:27:57 +0000	Automated TMDB data update
6aab9d10dab5e370882b4ee390c8dc88f1c9186c	2025-11-06 15:30:15 +0000	Automated TMDB data update
f057330b3728602e0a3ad7a51e239140ce970903	2025-11-05 15:27:10 +0000	Automated TMDB data update
cfc2dffc7acfb3d15cc8f58c8a9c21f235ddb98f	2025-11-04 15:29:56 +0000	Automated TMDB data update
e9cb0037e022f537cfcad44e507d9beb04d4a091	2025-11-03 15:28:33 +0000	Automated TMDB data update
490668a25646d2afabfc1a8c8566700cdbd9f901	2025-11-02 15:24:11 +0000	Automated TMDB data update
020b0d4bc936321e3593f1bea5310b0ccdb73fa0	2025-11-01 15:22:37 +0000	Automated TMDB data update
b1d8a78f39799ab3ec859258a30be10ec1830239	2025-11-01 05:05:21 +0100	title changes
7d14e0817c3842bbd842746fcb23ed3d09a4b62d	2025-11-01 04:45:38 +0100	fix continue watching
73997a0c7ce6a7e5c6ed92158a4be4d5a1cc8f70	2025-11-01 04:37:50 +0100	arrows fixed
42fb44f853975397f7e09f346b2b2fefb195912d	2025-11-01 04:29:37 +0100	new arrows
879658221d5fcfa8fd1de2137b9bd26d0c89e6ef	2025-11-01 04:17:13 +0100	Add files via upload
1d5c48f4cbcc8dc7d14d059895ec1c3857d68ff9	2025-10-31 15:26:44 +0000	Automated TMDB data update
ba1b1fd939e83dfb601bfea66d3e7c56a0ff29cc	2025-10-31 03:21:04 +0100	removed border cast
74b136377a48b72e60e23f510fab5683f558b67d	2025-10-31 02:39:21 +0100	animation section
92500fb801af904efc5743d3b236e5efe4e6cdc4	2025-10-31 02:10:54 +0100	added VF
981bb7c4ace94fd161bbd0de8e949a971a5e4091	2025-10-30 15:30:47 +0000	Automated TMDB data update
cab50d20c99a20e5dbde22368da816f33c5ba4d6	2025-10-29 15:30:37 +0000	Automated TMDB data update
068107d82b472ad3b2083c3b775a542d8a094bb0	2025-10-29 02:13:35 +0100	added show more info
8d4ba7315b299f039184382bc0bb15f4b1ab68de	2025-10-28 23:45:14 +0100	fixed search results borders
09349080024bd212dda4ab8f33e71f121bd9922b	2025-10-28 23:15:10 +0100	fixed ordering in watch later & added show more button
e3b9fe7db7c0f1947feacb8a53899ed425d81094	2025-10-28 14:37:43 +0100	fixed watched later icon
539e839e9a8fcb2651bb67e52775e88555cc0ff9	2025-10-28 01:13:04 +0100	fixed watched later button
9b1014ab97423f5bd392491551cf0fdb860ee0af	2025-10-28 01:07:49 +0100	added watch later, fixed hovering, fixed search posters size
91e7198318354e8f9b871c7287094fe61f28935a	2025-10-27 22:45:16 +0100	minor changes
26f4af51c668c24d2a2d69d9c879536818a1d30a	2025-10-27 20:17:11 +0100	no_poster added
867a54ed3ffbe33d8299230d7a5ca9e81757a605	2025-10-27 19:41:26 +0100	feat: add tmdb.py script and workflow
b67b5103d43c0421360e078e21edd65077ec0c81	2025-10-27 18:51:28 +0100	Update index.html
80b9b749c9b9968a82e66423ba6a2de5134acc91	2025-10-27 18:48:55 +0100	Add files via upload
4489f13b4d41e9b371915a3f2884082a5ead61d3	2025-10-27 18:47:24 +0100	Add files via upload
1bda1d871b8676b95ae61a6e0db26cb527e3ae18	2025-10-27 18:44:33 +0100	Add files via upload
5e9ae6170a0f557e66a867225aa9310788625f73	2025-10-27 18:44:00 +0100	Add files via upload
b030d4d00c9afec90727dce955e399e14f0f5a3f	2025-10-27 18:42:51 +0100	Add files via upload
9161cd475356dee3f22059c436f49ad355e450cd	2025-10-27 18:42:11 +0100	Create README.md
0a92b689237cc346c649354a9c51ba222be9d556	2025-10-27 18:41:55 +0100	Delete movies/posters directory
4a0f132012aa157697edd68d1735219b6aab5b39	2025-10-27 18:41:17 +0100	Add files via upload
981446c2e8b21a37d717a2a67504cfb8dc24d983	2025-10-27 18:40:38 +0100	Add files via upload
03be1af62a00255a7a9b2498dd523da6792b6e37	2025-10-25 23:28:28 +0200	Add files via upload
3f1f1385c8742420241129f9c57ebd6f889fe0bf	2025-10-25 23:24:53 +0200	Add files via upload
22a8a7457929c94e2fb24fc86d2aeec90ba04d50	2025-10-25 23:24:04 +0200	Add files via upload
53020c123d1e93c3d186b4fdf8def0061d42dd4f	2025-10-25 23:23:20 +0200	Add files via upload
d7ae9717986e8860ddac6987230d98955e81e738	2025-10-22 21:21:22 +0200	Update index.html
54607d639b0738134a27b78f5786eb945347a147	2025-10-21 21:32:25 +0200	Add files via upload
fd841ba713f1dbaf344a08126bcffc4fc7f32480	2025-10-21 21:31:37 +0200	Add files via upload
d46fae0394bb5f872263719ed4bec2b33722b221	2025-10-21 21:30:43 +0200	Add files via upload
de6b4327f3ddc8737dff6ad34a7a09bde6f63ded	2025-10-21 21:30:00 +0200	Add files via upload
e171a6a0609099f80996422da2ee4876ef87e61e	2025-10-21 21:29:23 +0200	Create README.md
34b8b6c8ba40fe5d667b23093c9eb03a4070f6e1	2025-10-21 21:28:43 +0200	Add files via upload
a9eeb6af49736d3812d6a26756e8e35637e2c2fb	2025-10-21 21:27:44 +0200	Create README.md
